firmware-iwlwifi,required for my wifi card
sbsigntool,required for secure boot
mokutil,required for secure boot
nvidia-settings,required for nvidia
nvidia-kernel-dkms,required for nvidia
nvidia-cuda-mps,required for nvidia
nvidia-driver,required for nvidia
vulkan-tools,required for nvidia
gnome-core,a desktop environment
gnome-software-plugin-flatpak,a flatpak plugin for gnome software
xorg,a display server
xinit,a display server
synaptic,a package manager
alacritty,a terminal emulator
zsh,a shell
ssh,a secure shell
curl,a command line tool
wget,a command line tool
git,a version control system
i3,a window manager
i3status,a status bar
feh,a wallpaper setter
fzf,a fuzzy finder
compton,a compositor
pavucontrol,a volume control
sxhkd,a hotkey daemon
fonts-ubuntu,a font package
solaar,a logitech device manager
ca-certificates,a certificate manager
gnupg,a gpg key manager
stow,symlink farm manager
bat,a cat clone
xbacklight,a backlight manager
xinput,a input device manager
xserver-xorg-input-libinput,a input device manager
flameshot,a screenshot tool
tmux,a terminal multiplexer
fonts-noto,a font package
fonts-roboto,a font package
xz-utils,a compression tool
plymouth-themes,a boot splash screen
dbus-x11,a dbus manager
zathura,a pdf viewer
newsboat,a rss reader
mpv,a media player
